
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      5,324 K
Registry                       108 Services                   0     55,324 K
smss.exe                       548 Services                   0        528 K
csrss.exe                      716 Services                   0      2,556 K
wininit.exe                    796 Services                   0      2,944 K
services.exe                   920 Services                   0      7,668 K
lsass.exe                      992 Services                   0     19,852 K
svchost.exe                    792 Services                   0     32,512 K
fontdrvhost.exe               1032 Services                   0        244 K
WUDFHost.exe                  1104 Services                   0      2,652 K
svchost.exe                   1176 Services                   0     14,888 K
svchost.exe                   1228 Services                   0      5,736 K
svchost.exe                   1556 Services                   0      2,884 K
svchost.exe                   1700 Services                   0      6,344 K
svchost.exe                   1720 Services                   0     10,400 K
svchost.exe                   1728 Services                   0      5,772 K
svchost.exe                   1736 Services                   0      6,848 K
svchost.exe                   1744 Services                   0      6,064 K
svchost.exe                   1828 Services                   0     14,704 K
svchost.exe                   1888 Services                   0     12,960 K
IntelCpHDCPSvc.exe            1908 Services                   0      1,796 K
svchost.exe                   1924 Services                   0      5,816 K
svchost.exe                   1980 Services                   0      1,944 K
IntelCpHeciSvc.exe            2156 Services                   0      2,364 K
svchost.exe                   2164 Services                   0      3,160 K
svchost.exe                   2328 Services                   0     11,824 K
svchost.exe                   2368 Services                   0      5,204 K
svchost.exe                   2544 Services                   0     13,508 K
svchost.exe                   2624 Services                   0      4,568 K
svchost.exe                   2636 Services                   0      8,472 K
svchost.exe                   2652 Services                   0      4,276 K
svchost.exe                   2664 Services                   0      1,928 K
Memory Compression            2788 Services                   0    208,604 K
svchost.exe                   2804 Services                   0      6,064 K
svchost.exe                   2868 Services                   0      3,868 K
igfxCUIService.exe            2880 Services                   0      3,760 K
svchost.exe                   2916 Services                   0      6,824 K
svchost.exe                   2924 Services                   0      7,132 K
svchost.exe                   2296 Services                   0      4,800 K
svchost.exe                   2908 Services                   0     12,612 K
svchost.exe                   3088 Services                   0      3,080 K
svchost.exe                   3108 Services                   0     19,564 K
svchost.exe                   3172 Services                   0      6,432 K
svchost.exe                   3188 Services                   0      6,196 K
WUDFHost.exe                  3312 Services                   0     10,880 K
svchost.exe                   3448 Services                   0     16,180 K
svchost.exe                   3468 Services                   0      7,240 K
AsusOptimization.exe          3476 Services                   0      3,984 K
spoolsv.exe                   3640 Services                   0      6,104 K
svchost.exe                   3648 Services                   0      5,232 K
svchost.exe                   3780 Services                   0     17,924 K
RtkAudUService64.exe          3904 Services                   0      2,188 K
svchost.exe                   3920 Services                   0      2,772 K
svchost.exe                   3936 Services                   0      3,604 K
svchost.exe                   3772 Services                   0      5,080 K
armsvc.exe                    4228 Services                   0      1,804 K
AsusAppService.exe            4236 Services                   0     15,124 K
AsusLinkNear.exe              4248 Services                   0      6,028 K
AGMService.exe                4260 Services                   0     11,616 K
AsusSoftwareManager.exe       4272 Services                   0     10,396 K
AsusLinkRemote.exe            4284 Services                   0      2,712 K
AsusSwitch.exe                4304 Services                   0      2,172 K
AsusSystemAnalysis.exe        4324 Services                   0      9,140 K
AsusSystemDiagnosis.exe       4368 Services                   0      3,092 K
svchost.exe                   4376 Services                   0      9,684 K
svchost.exe                   4404 Services                   0      5,812 K
OfficeClickToRun.exe          4416 Services                   0     23,856 K
svchost.exe                   4448 Services                   0     28,216 K
svchost.exe                   4456 Services                   0     34,820 K
ELANFPService.exe             4500 Services                   0      1,892 K
esif_uf.exe                   4540 Services                   0      2,156 K
ibtsiva.exe                   4564 Services                   0      2,136 K
ICEsoundService64.exe         4616 Services                   0      3,644 K
OneApp.IGCC.WinService.ex     4684 Services                   0      7,460 K
IntelAudioService.exe         4712 Services                   0     11,980 K
svchost.exe                   4764 Services                   0      6,980 K
svchost.exe                   4780 Services                   0      4,092 K
svchost.exe                   4844 Services                   0      1,684 K
RstMwService.exe              4880 Services                   0      1,880 K
RtkAudUService64.exe          4888 Services                   0      6,232 K
LMS.exe                       4908 Services                   0      3,748 K
sqlwriter.exe                 4960 Services                   0      2,788 K
svchost.exe                   4968 Services                   0      3,292 K
